sub,eye,roi,sub_roi,apeak,bpeak
sub002,close,auditory,aud Brodmann area 42,7,NaN
sub002,close,auditory,aud Brodmann area 22,7,NaN
sub003,open,somato,somato left,10,17
sub003,open,somato,somato right,10,21
sub003,close,somato,somato left,10,18
sub003,close,somato,somato right,10,17
sub003,open,visual,V1d,11,NaN
sub003,open,visual,V1v,11,NaN
sub003,open,visual,V2d,11,NaN
sub003,open,visual,V2v,11,NaN
sub003,open,visual,V3a,11,NaN
sub003,open,visual,V3b,11,NaN
sub003,open,visual,V3d,11,NaN
sub003,open,visual,V3v,11,NaN
sub003,close,visual,V1d,10,NaN
sub003,close,visual,V1v,10,NaN
sub003,close,visual,V2d,10,NaN
sub003,close,visual,V2v,10,NaN
sub003,close,visual,V3a,10,NaN
sub003,close,visual,V3b,10,NaN
sub003,close,visual,V3d,10,NaN
sub003,close,visual,V3v,10,NaN
sub003,open,frontal,fro Brodmann area 4,7,NaN
sub003,open,frontal,fro Brodmann area 6,7,17
sub003,open,frontal,fro Brodmann area 8,7,17
sub003,open,frontal,fro Brodmann area 9,7,22
sub003,open,frontal,fro Brodmann area 10,7,16
sub003,open,frontal,fro Brodmann area 11,7,16
sub003,open,frontal,fro Brodmann area 44,7,17
sub003,open,frontal,fro Brodmann area 45,7,17
sub003,open,frontal,fro Brodmann area 46,7,20
sub003,open,frontal,fro Brodmann area 47,7,NaN
sub003,close,frontal,fro Brodmann area 4,10,17
sub003,close,frontal,fro Brodmann area 6,10,18
sub003,close,frontal,fro Brodmann area 8,7,19
sub003,close,frontal,fro Brodmann area 9,7,16
sub003,close,frontal,fro Brodmann area 10,7,17
sub003,close,frontal,fro Brodmann area 11,7,17
sub003,close,frontal,fro Brodmann area 44,7,18
sub003,close,frontal,fro Brodmann area 45,7,18
sub003,close,frontal,fro Brodmann area 46,7,16
sub003,close,frontal,fro Brodmann area 47,7,16
sub003,open,auditory,aud Brodmann area 41,7,NaN
sub003,open,auditory,aud Brodmann area 42,7,NaN
sub003,open,auditory,aud Brodmann area 22,7,NaN
sub003,close,auditory,aud Brodmann area 41,9,16
sub003,close,auditory,aud Brodmann area 42,7,NaN
sub003,close,auditory,aud Brodmann area 22,10,23
sub004,open,somato,somato left,8,17
sub004,open,somato,somato right,8,NaN
sub004,close,somato,somato left,14,NaN
sub004,close,somato,somato right,8,NaN
sub004,open,visual,V1d,10,NaN
sub004,open,visual,V1v,10,NaN
sub004,open,visual,V2d,10,NaN
sub004,open,visual,V2v,10,NaN
sub004,open,visual,V3a,10,NaN
sub004,open,visual,V3b,10,NaN
sub004,open,visual,V3d,10,NaN
sub004,open,visual,V3v,10,NaN
sub004,close,visual,V1d,10,19
sub004,close,visual,V1v,10,19
sub004,close,visual,V2d,10,19
sub004,close,visual,V2v,10,19
sub004,close,visual,V3a,10,19
sub004,close,visual,V3b,10,19
sub004,close,visual,V3d,10,19
sub004,close,visual,V3v,10,19
sub004,open,frontal,fro Brodmann area 4,9,NaN
sub004,open,frontal,fro Brodmann area 6,7,28
sub004,open,frontal,fro Brodmann area 8,7,25
sub004,open,frontal,fro Brodmann area 9,7,22
sub004,open,frontal,fro Brodmann area 10,7,NaN
sub004,open,frontal,fro Brodmann area 11,7,NaN
sub004,open,frontal,fro Brodmann area 44,7,23
sub004,open,frontal,fro Brodmann area 45,8,26
sub004,open,frontal,fro Brodmann area 46,7,NaN
sub004,open,frontal,fro Brodmann area 47,7,NaN
sub004,close,frontal,fro Brodmann area 4,9,NaN
sub004,close,frontal,fro Brodmann area 6,10,28
sub004,close,frontal,fro Brodmann area 8,7,27
sub004,close,frontal,fro Brodmann area 9,7,NaN
sub004,close,frontal,fro Brodmann area 10,7,NaN
sub004,close,frontal,fro Brodmann area 11,9,NaN
sub004,close,frontal,fro Brodmann area 44,7,NaN
sub004,close,frontal,fro Brodmann area 45,7,NaN
sub004,close,frontal,fro Brodmann area 46,7,NaN
sub004,close,frontal,fro Brodmann area 47,7,29
sub004,open,auditory,aud Brodmann area 41,8,NaN
sub004,open,auditory,aud Brodmann area 42,8,25
sub004,open,auditory,aud Brodmann area 22,7,23
sub004,close,auditory,aud Brodmann area 41,7,26
sub004,close,auditory,aud Brodmann area 42,7,25
sub004,close,auditory,aud Brodmann area 22,7,20
sub005,open,somato,somato left,9,22
sub005,open,somato,somato right,8,17
sub005,close,somato,somato left,9,23
sub005,close,somato,somato right,9,18
sub005,open,visual,V1d,10,21
sub005,open,visual,V1v,9,21
sub005,open,visual,V2d,10,21
sub005,open,visual,V2v,9,NaN
sub005,open,visual,V3a,9,NaN
sub005,open,visual,V3b,10,NaN
sub005,open,visual,V3d,10,NaN
sub005,open,visual,V3v,9,NaN
sub005,close,visual,V1d,10,20
sub005,close,visual,V1v,10,20
sub005,close,visual,V2d,10,20
sub005,close,visual,V2v,10,20
sub005,close,visual,V3a,10,19
sub005,close,visual,V3b,10,19
sub005,close,visual,V3d,10,20
sub005,close,visual,V3v,10,20
sub005,open,frontal,fro Brodmann area 4,8,24
sub005,open,frontal,fro Brodmann area 6,8,17
sub005,open,frontal,fro Brodmann area 8,7,23
sub005,open,frontal,fro Brodmann area 9,7,22
sub005,open,frontal,fro Brodmann area 10,7,22
sub005,open,frontal,fro Brodmann area 11,7,18
sub005,open,frontal,fro Brodmann area 44,7,22
sub005,open,frontal,fro Brodmann area 45,7,NaN
sub005,open,frontal,fro Brodmann area 46,7,22
sub005,open,frontal,fro Brodmann area 47,7,NaN
sub005,close,frontal,fro Brodmann area 4,9,19
sub005,close,frontal,fro Brodmann area 6,9,20
sub005,close,frontal,fro Brodmann area 8,8,21
sub005,close,frontal,fro Brodmann area 9,8,20
sub005,close,frontal,fro Brodmann area 10,7,NaN
sub005,close,frontal,fro Brodmann area 11,8,19
sub005,close,frontal,fro Brodmann area 44,8,19
sub005,close,frontal,fro Brodmann area 45,8,NaN
sub005,close,frontal,fro Brodmann area 46,8,23
sub005,close,frontal,fro Brodmann area 47,7,21
sub005,open,auditory,aud Brodmann area 41,8,24
sub005,open,auditory,aud Brodmann area 42,8,20
sub005,open,auditory,aud Brodmann area 22,8,21
sub005,close,auditory,aud Brodmann area 41,9,20
sub005,close,auditory,aud Brodmann area 42,9,21
sub005,close,auditory,aud Brodmann area 22,9,20
sub006,open,somato,somato left,12,21
sub006,open,somato,somato right,12,21
sub006,close,somato,somato left,12,19
sub006,close,somato,somato right,12,20
sub006,open,visual,V1d,12,NaN
sub006,open,visual,V1v,12,NaN
sub006,open,visual,V2d,12,NaN
sub006,open,visual,V2v,12,NaN
sub006,open,visual,V3a,12,NaN
sub006,open,visual,V3b,12,NaN
sub006,open,visual,V3d,12,NaN
sub006,open,visual,V3v,12,NaN
sub006,close,visual,V1d,10,21
sub006,close,visual,V1v,10,NaN
sub006,close,visual,V2d,10,NaN
sub006,close,visual,V2v,10,NaN
sub006,close,visual,V3a,10,NaN
sub006,close,visual,V3b,10,24
sub006,close,visual,V3d,10,NaN
sub006,close,visual,V3v,10,NaN
sub006,open,frontal,fro Brodmann area 4,13,21
sub006,open,frontal,fro Brodmann area 6,13,21
sub006,open,frontal,fro Brodmann area 8,7,20
sub006,open,frontal,fro Brodmann area 9,7,19
sub006,open,frontal,fro Brodmann area 10,7,21
sub006,open,frontal,fro Brodmann area 11,7,21
sub006,open,frontal,fro Brodmann area 44,12,19
sub006,open,frontal,fro Brodmann area 45,12,NaN
sub006,open,frontal,fro Brodmann area 46,13,19
sub006,open,frontal,fro Brodmann area 47,7,22
sub006,close,frontal,fro Brodmann area 4,12,21
sub006,close,frontal,fro Brodmann area 6,12,22
sub006,close,frontal,fro Brodmann area 8,12,21
sub006,close,frontal,fro Brodmann area 9,7,NaN
sub006,close,frontal,fro Brodmann area 10,7,NaN
sub006,close,frontal,fro Brodmann area 11,7,21
sub006,close,frontal,fro Brodmann area 44,12,NaN
sub006,close,frontal,fro Brodmann area 45,12,20
sub006,close,frontal,fro Brodmann area 46,12,NaN
sub006,close,frontal,fro Brodmann area 47,7,20
sub006,open,auditory,aud Brodmann area 41,10,NaN
sub006,open,auditory,aud Brodmann area 42,10,NaN
sub006,open,auditory,aud Brodmann area 22,10,NaN
sub006,close,auditory,aud Brodmann area 41,11,20
sub006,close,auditory,aud Brodmann area 42,12,19
sub006,close,auditory,aud Brodmann area 22,11,NaN
sub007,open,somato,somato left,11,20
sub007,open,somato,somato right,7,21
sub007,close,somato,somato left,10,21
sub007,close,somato,somato right,11,20
sub007,open,visual,V1d,11,21
sub007,open,visual,V1v,11,22
sub007,open,visual,V2d,11,19
sub007,open,visual,V2v,11,20
sub007,open,visual,V3a,12,23
sub007,open,visual,V3b,12,23
sub007,open,visual,V3d,12,21
sub007,open,visual,V3v,11,21
sub007,close,visual,V1d,11,21
sub007,close,visual,V1v,11,21
sub007,close,visual,V2d,11,20
sub007,close,visual,V2v,11,20
sub007,close,visual,V3a,11,21
sub007,close,visual,V3b,11,21
sub007,close,visual,V3d,11,20
sub007,close,visual,V3v,11,20
sub007,open,frontal,fro Brodmann area 4,7,23
sub007,open,frontal,fro Brodmann area 6,11,20
sub007,open,frontal,fro Brodmann area 8,7,20
sub007,open,frontal,fro Brodmann area 9,7,20
sub007,open,frontal,fro Brodmann area 10,7,NaN
sub007,open,frontal,fro Brodmann area 11,7,20
sub007,open,frontal,fro Brodmann area 44,7,23
sub007,open,frontal,fro Brodmann area 45,7,24
sub007,open,frontal,fro Brodmann area 46,7,NaN
sub007,open,frontal,fro Brodmann area 47,7,NaN
sub007,close,frontal,fro Brodmann area 4,10,21
sub007,close,frontal,fro Brodmann area 6,11,21
sub007,close,frontal,fro Brodmann area 8,7,21
sub007,close,frontal,fro Brodmann area 9,7,21
sub007,close,frontal,fro Brodmann area 10,7,18
sub007,close,frontal,fro Brodmann area 11,10,21
sub007,close,frontal,fro Brodmann area 44,7,20
sub007,close,frontal,fro Brodmann area 45,7,20
sub007,close,frontal,fro Brodmann area 46,7,23
sub007,close,frontal,fro Brodmann area 47,7,21
sub007,open,auditory,aud Brodmann area 41,7,22
sub007,open,auditory,aud Brodmann area 42,7,20
sub007,open,auditory,aud Brodmann area 22,7,20
sub007,close,auditory,aud Brodmann area 41,10,21
sub007,close,auditory,aud Brodmann area 42,10,19
sub007,close,auditory,aud Brodmann area 22,7,20
sub008,open,somato,somato left,7,30
sub008,open,somato,somato right,11,30
sub008,close,somato,somato left,7,30
sub008,close,somato,somato right,12,30
sub008,open,visual,V1d,11,31
sub008,open,visual,V1v,11,31
sub008,open,visual,V2d,11,31
sub008,open,visual,V2v,11,31
sub008,open,visual,V3a,11,30
sub008,open,visual,V3b,11,30
sub008,open,visual,V3d,11,30
sub008,open,visual,V3v,11,NaN
sub008,close,visual,V1d,11,22
sub008,close,visual,V1v,12,22
sub008,close,visual,V2d,12,NaN
sub008,close,visual,V2v,11,22
sub008,close,visual,V3a,12,30
sub008,close,visual,V3b,11,30
sub008,close,visual,V3d,12,30
sub008,close,visual,V3v,11,22
sub008,open,frontal,fro Brodmann area 4,13,30
sub008,open,frontal,fro Brodmann area 6,7,30
sub008,open,frontal,fro Brodmann area 8,7,31
sub008,open,frontal,fro Brodmann area 9,7,NaN
sub008,open,frontal,fro Brodmann area 10,7,30
sub008,open,frontal,fro Brodmann area 11,7,30
sub008,open,frontal,fro Brodmann area 44,7,NaN
sub008,open,frontal,fro Brodmann area 45,7,NaN
sub008,open,frontal,fro Brodmann area 46,7,30
sub008,open,frontal,fro Brodmann area 47,7,30
sub008,close,frontal,fro Brodmann area 4,13,30
sub008,close,frontal,fro Brodmann area 6,7,31
sub008,close,frontal,fro Brodmann area 8,7,NaN
sub008,close,frontal,fro Brodmann area 9,7,NaN
sub008,close,frontal,fro Brodmann area 10,7,NaN
sub008,close,frontal,fro Brodmann area 11,7,NaN
sub008,close,frontal,fro Brodmann area 44,7,NaN
sub008,close,frontal,fro Brodmann area 45,7,NaN
sub008,close,frontal,fro Brodmann area 46,7,31
sub008,close,frontal,fro Brodmann area 47,7,30
sub008,open,auditory,aud Brodmann area 41,12,30
sub008,open,auditory,aud Brodmann area 42,12,30
sub008,open,auditory,aud Brodmann area 22,12,30
sub008,close,auditory,aud Brodmann area 41,12,30
sub008,close,auditory,aud Brodmann area 42,12,30
sub008,close,auditory,aud Brodmann area 22,11,30
sub009,open,somato,somato left,10,20
sub009,open,somato,somato right,9,17
sub009,close,somato,somato left,10,20
sub009,close,somato,somato right,9,16
sub009,open,visual,V1d,9,NaN
sub009,open,visual,V1v,9,NaN
sub009,open,visual,V2d,9,NaN
sub009,open,visual,V2v,9,NaN
sub009,open,visual,V3a,9,NaN
sub009,open,visual,V3b,9,17
sub009,open,visual,V3d,9,18
sub009,open,visual,V3v,9,18
sub009,close,visual,V1d,9,NaN
sub009,close,visual,V1v,9,NaN
sub009,close,visual,V2d,9,NaN
sub009,close,visual,V2v,8,NaN
sub009,close,visual,V3a,9,16
sub009,close,visual,V3b,9,NaN
sub009,close,visual,V3d,9,NaN
sub009,close,visual,V3v,9,NaN
sub009,open,frontal,fro Brodmann area 4,9,NaN
sub009,open,frontal,fro Brodmann area 6,9,23
sub009,open,frontal,fro Brodmann area 8,7,20
sub009,open,frontal,fro Brodmann area 9,8,20
sub009,open,frontal,fro Brodmann area 10,7,21
sub009,open,frontal,fro Brodmann area 11,8,21
sub009,open,frontal,fro Brodmann area 44,8,18
sub009,open,frontal,fro Brodmann area 45,7,18
sub009,open,frontal,fro Brodmann area 46,7,25
sub009,open,frontal,fro Brodmann area 47,8,20
sub009,close,frontal,fro Brodmann area 4,8,20
sub009,close,frontal,fro Brodmann area 6,8,17
sub009,close,frontal,fro Brodmann area 8,7,22
sub009,close,frontal,fro Brodmann area 9,8,18
sub009,close,frontal,fro Brodmann area 10,8,17
sub009,close,frontal,fro Brodmann area 11,8,16
sub009,close,frontal,fro Brodmann area 44,8,17
sub009,close,frontal,fro Brodmann area 45,7,23
sub009,close,frontal,fro Brodmann area 46,7,17
sub009,close,frontal,fro Brodmann area 47,8,17
sub009,open,auditory,aud Brodmann area 41,8,16
sub009,open,auditory,aud Brodmann area 42,8,27
sub009,open,auditory,aud Brodmann area 22,8,17
sub009,close,auditory,aud Brodmann area 41,8,NaN
sub009,close,auditory,aud Brodmann area 42,8,23
sub009,close,auditory,aud Brodmann area 22,8,17
sub010,open,somato,somato left,10,20
sub010,open,somato,somato right,10,19
sub010,close,somato,somato left,10,20
sub010,close,somato,somato right,10,19
sub010,open,visual,V1d,10,20
sub010,open,visual,V1v,10,20
sub010,open,visual,V2d,10,19
sub010,open,visual,V2v,10,19
sub010,open,visual,V3a,10,20
sub010,open,visual,V3b,10,18
sub010,open,visual,V3d,10,19
sub010,open,visual,V3v,10,19
sub010,close,visual,V1d,10,20
sub010,close,visual,V1v,10,20
sub010,close,visual,V2d,10,20
sub010,close,visual,V2v,10,20
sub010,close,visual,V3a,10,20
sub010,close,visual,V3b,10,20
sub010,close,visual,V3d,10,20
sub010,close,visual,V3v,10,20
sub010,open,frontal,fro Brodmann area 4,10,20
sub010,open,frontal,fro Brodmann area 6,7,20
sub010,open,frontal,fro Brodmann area 8,7,19
sub010,open,frontal,fro Brodmann area 9,7,19
sub010,open,frontal,fro Brodmann area 10,7,20
sub010,open,frontal,fro Brodmann area 11,7,20
sub010,open,frontal,fro Brodmann area 44,10,20
sub010,open,frontal,fro Brodmann area 45,10,21
sub010,open,frontal,fro Brodmann area 46,7,20
sub010,open,frontal,fro Brodmann area 47,10,19
sub010,close,frontal,fro Brodmann area 4,10,20
sub010,close,frontal,fro Brodmann area 6,10,20
sub010,close,frontal,fro Brodmann area 8,7,21
sub010,close,frontal,fro Brodmann area 9,7,20
sub010,close,frontal,fro Brodmann area 10,7,20
sub010,close,frontal,fro Brodmann area 11,7,20
sub010,close,frontal,fro Brodmann area 44,7,20
sub010,close,frontal,fro Brodmann area 45,10,20
sub010,close,frontal,fro Brodmann area 46,7,NaN
sub010,close,frontal,fro Brodmann area 47,10,20
sub010,open,auditory,aud Brodmann area 41,11,20
sub010,open,auditory,aud Brodmann area 42,11,NaN
sub010,open,auditory,aud Brodmann area 22,10,19
sub010,close,auditory,aud Brodmann area 41,10,19
sub010,close,auditory,aud Brodmann area 42,10,19
sub010,close,auditory,aud Brodmann area 22,10,20
sub011,open,somato,somato left,14,17
sub011,open,somato,somato right,14,19
sub011,close,somato,somato left,14,18
sub011,close,somato,somato right,14,19
sub011,open,visual,V1d,10,NaN
sub011,open,visual,V1v,10,17
sub011,open,visual,V2d,10,20
sub011,open,visual,V2v,11,NaN
sub011,open,visual,V3a,10,18
sub011,open,visual,V3b,13,NaN
sub011,open,visual,V3d,10,NaN
sub011,open,visual,V3v,11,NaN
sub011,close,visual,V1d,11,22
sub011,close,visual,V1v,11,22
sub011,close,visual,V2d,11,22
sub011,close,visual,V2v,11,22
sub011,close,visual,V3a,11,NaN
sub011,close,visual,V3b,11,23
sub011,close,visual,V3d,11,22
sub011,close,visual,V3v,11,22
sub011,open,frontal,fro Brodmann area 4,7,21
sub011,open,frontal,fro Brodmann area 6,7,22
sub011,open,frontal,fro Brodmann area 8,7,21
sub011,open,frontal,fro Brodmann area 9,7,21
sub011,open,frontal,fro Brodmann area 10,7,21
sub011,open,frontal,fro Brodmann area 11,7,22
sub011,open,frontal,fro Brodmann area 44,7,20
sub011,open,frontal,fro Brodmann area 45,7,21
sub011,open,frontal,fro Brodmann area 46,7,23
sub011,open,frontal,fro Brodmann area 47,7,19
sub011,close,frontal,fro Brodmann area 4,14,19
sub011,close,frontal,fro Brodmann area 6,7,NaN
sub011,close,frontal,fro Brodmann area 8,7,20
sub011,close,frontal,fro Brodmann area 9,7,21
sub011,close,frontal,fro Brodmann area 10,7,19
sub011,close,frontal,fro Brodmann area 11,7,19
sub011,close,frontal,fro Brodmann area 44,7,19
sub011,close,frontal,fro Brodmann area 45,7,19
sub011,close,frontal,fro Brodmann area 46,7,19
sub011,close,frontal,fro Brodmann area 47,7,20
sub011,open,auditory,aud Brodmann area 41,14,NaN
sub011,open,auditory,aud Brodmann area 42,14,22
sub011,open,auditory,aud Brodmann area 22,14,20
sub011,close,auditory,aud Brodmann area 41,13,NaN
sub011,close,auditory,aud Brodmann area 42,14,18
sub011,close,auditory,aud Brodmann area 22,13,18
sub012,open,somato,somato left,10,18
sub012,open,somato,somato right,9,18
sub012,close,somato,somato left,11,18
sub012,close,somato,somato right,10,17
sub012,open,visual,V1d,10,NaN
sub012,open,visual,V1v,10,NaN
sub012,open,visual,V2d,10,NaN
sub012,open,visual,V2v,10,NaN
sub012,open,visual,V3a,10,NaN
sub012,open,visual,V3b,10,NaN
sub012,open,visual,V3d,10,NaN
sub012,open,visual,V3v,10,NaN
sub012,close,visual,V1d,10,21
sub012,close,visual,V1v,10,21
sub012,close,visual,V2d,10,21
sub012,close,visual,V2v,10,21
sub012,close,visual,V3a,10,20
sub012,close,visual,V3b,10,20
sub012,close,visual,V3d,10,21
sub012,close,visual,V3v,10,20
sub012,open,frontal,fro Brodmann area 4,10,18
sub012,open,frontal,fro Brodmann area 6,9,17
sub012,open,frontal,fro Brodmann area 8,7,17
sub012,open,frontal,fro Brodmann area 9,7,17
sub012,open,frontal,fro Brodmann area 10,7,NaN
sub012,open,frontal,fro Brodmann area 11,7,NaN
sub012,open,frontal,fro Brodmann area 44,7,17
sub012,open,frontal,fro Brodmann area 45,7,17
sub012,open,frontal,fro Brodmann area 46,7,17
sub012,open,frontal,fro Brodmann area 47,7,NaN
sub012,close,frontal,fro Brodmann area 4,10,17
sub012,close,frontal,fro Brodmann area 6,10,17
sub012,close,frontal,fro Brodmann area 8,7,NaN
sub012,close,frontal,fro Brodmann area 9,7,NaN
sub012,close,frontal,fro Brodmann area 10,7,NaN
sub012,close,frontal,fro Brodmann area 11,10,NaN
sub012,close,frontal,fro Brodmann area 44,7,17
sub012,close,frontal,fro Brodmann area 45,7,17
sub012,close,frontal,fro Brodmann area 46,7,17
sub012,close,frontal,fro Brodmann area 47,7,17
sub012,open,auditory,aud Brodmann area 41,7,NaN
sub012,open,auditory,aud Brodmann area 42,9,17
sub012,open,auditory,aud Brodmann area 22,9,17
sub012,close,auditory,aud Brodmann area 41,10,21
sub012,close,auditory,aud Brodmann area 42,10,16
sub012,close,auditory,aud Brodmann area 22,10,16
sub017,open,somato,somato left,11,21
sub017,open,somato,somato right,11,21
sub017,close,somato,somato left,11,21
sub017,close,somato,somato right,10,21
sub017,open,visual,V1d,11,21
sub017,open,visual,V1v,11,NaN
sub017,open,visual,V2d,11,19
sub017,open,visual,V2v,11,NaN
sub017,open,visual,V3a,11,21
sub017,open,visual,V3b,11,20
sub017,open,visual,V3d,11,21
sub017,open,visual,V3v,11,21
sub017,close,visual,V1d,11,21
sub017,close,visual,V1v,10,21
sub017,close,visual,V2d,11,21
sub017,close,visual,V2v,11,20
sub017,close,visual,V3a,11,22
sub017,close,visual,V3b,11,21
sub017,close,visual,V3d,11,21
sub017,close,visual,V3v,11,20
sub017,open,frontal,fro Brodmann area 4,11,21
sub017,open,frontal,fro Brodmann area 6,7,22
sub017,open,frontal,fro Brodmann area 8,7,24
sub017,open,frontal,fro Brodmann area 9,7,22
sub017,open,frontal,fro Brodmann area 10,7,NaN
sub017,open,frontal,fro Brodmann area 11,7,21
sub017,open,frontal,fro Brodmann area 44,7,22
sub017,open,frontal,fro Brodmann area 45,7,22
sub017,open,frontal,fro Brodmann area 46,7,23
sub017,open,frontal,fro Brodmann area 47,7,21
sub017,close,frontal,fro Brodmann area 4,10,21
sub017,close,frontal,fro Brodmann area 6,10,21
sub017,close,frontal,fro Brodmann area 8,7,NaN
sub017,close,frontal,fro Brodmann area 9,7,20
sub017,close,frontal,fro Brodmann area 10,7,NaN
sub017,close,frontal,fro Brodmann area 11,7,20
sub017,close,frontal,fro Brodmann area 44,7,21
sub017,close,frontal,fro Brodmann area 45,7,21
sub017,close,frontal,fro Brodmann area 46,7,25
sub017,close,frontal,fro Brodmann area 47,7,24
sub017,open,auditory,aud Brodmann area 41,7,21
sub017,open,auditory,aud Brodmann area 42,7,21
sub017,open,auditory,aud Brodmann area 22,7,19
sub017,close,auditory,aud Brodmann area 41,11,21
sub017,close,auditory,aud Brodmann area 42,7,21
sub017,close,auditory,aud Brodmann area 22,11,21
sub018,open,somato,somato left,9,22
sub018,open,somato,somato right,8,22
sub018,close,somato,somato left,7,21
sub018,close,somato,somato right,7,21
sub018,open,visual,V1d,11,22
sub018,open,visual,V1v,11,25
sub018,open,visual,V2d,11,22
sub018,open,visual,V2v,12,23
sub018,open,visual,V3a,11,21
sub018,open,visual,V3b,10,26
sub018,open,visual,V3d,10,25
sub018,open,visual,V3v,11,21
sub018,close,visual,V1d,10,28
sub018,close,visual,V1v,10,22
sub018,close,visual,V2d,10,27
sub018,close,visual,V2v,12,23
sub018,close,visual,V3a,10,22
sub018,close,visual,V3b,10,NaN
sub018,close,visual,V3d,10,NaN
sub018,close,visual,V3v,9,27
sub018,open,frontal,fro Brodmann area 4,8,20
sub018,open,frontal,fro Brodmann area 6,7,21
sub018,open,frontal,fro Brodmann area 8,7,22
sub018,open,frontal,fro Brodmann area 9,7,22
sub018,open,frontal,fro Brodmann area 10,7,21
sub018,open,frontal,fro Brodmann area 11,7,19
sub018,open,frontal,fro Brodmann area 44,7,20
sub018,open,frontal,fro Brodmann area 45,7,21
sub018,open,frontal,fro Brodmann area 46,7,21
sub018,open,frontal,fro Brodmann area 47,7,21
sub018,close,frontal,fro Brodmann area 4,7,19
sub018,close,frontal,fro Brodmann area 6,7,20
sub018,close,frontal,fro Brodmann area 8,7,21
sub018,close,frontal,fro Brodmann area 9,7,20
sub018,close,frontal,fro Brodmann area 10,7,20
